Request_ID,Request_Date,Region,Service_Type,Priority,Customer_Type,Technician_ID,Assignment_Time_Min,Travel_Time_Min,Service_Time_Min,Delay_Reason,Spare_Part_Delay_Min,Approval_Delay_Min,Waiting_Time_Min,Total_Resolution_Time_Min,SLA_Time_Min,SLA_Status,Customer_Rating,Service_Status
SR10023,10-06-2025,Chennai,Network Support,Medium,Industrial,T114,29.5,10,134,No Delay,0,0,37.5,211,270,Within SLA,4.6,Completed
SR10024,05-04-2026,Pune,Installation,Medium,Industrial,T105,38.6,53.3,26.5,No Delay,0,0,21.4,139.8,270,Within SLA,4.7,Completed
SR10025,10-11-2025,Pune,Network Support,Medium,Industrial,T127,46,49.2,65.6,Travel,0,0,40.8,201.6,270,Within SLA,4.5,Completed
SR10026,22-01-2025,Pune,Preventive Maintenance,High,Industrial,T117,39.8,37.2,100.5,Spare Part,205.1,0,256.8,434.3,240,Breached,3.4,Completed
SR10027,10-09-2025,Hyderabad,Network Support,Medium,Industrial,T118,39.1,40,83.6,Spare Part,189.7,0,223.5,386.2,270,Breached,4.9,Completed
SR10028,15-07-2026,Chennai,Equipment Repair,Medium,Industrial,T119,31.4,60.4,70,Technician Availability,0,0,26.2,188,270,Within SLA,5,Completed
SR10029,20-04-2026,Chennai,Equipment Repair,Low,Industrial,T107,37.2,12.3,31.9,Travel,0,0,20.6,102,300,Within SLA,4.7,Completed
SR10030,28-02-2025,Pune,Preventive Maintenance,High,Business,T126,29.1,75.6,97.6,No Delay,0,0,48.5,250.8,240,Breached,4.4,Completed
SR10031,26-05-2026,Bangalore,Network Support,Medium,Business,T125,31,67.5,152.9,Technician Availability,0,0,22.2,273.6,270,Breached,4.4,Completed
SR10032,21-04-2026,Pune,Electrical Service,High,Industrial,T118,56.3,42.9,62.9,Travel,0,0,58.7,220.8,240,Within SLA,4.2,Completed
SR10033,09-07-2025,Hyderabad,Network Support,Medium,Business,T112,35.6,48.5,87.3,Scheduling,0,0,34.7,206.1,270,Within SLA,5,Completed
SR10034,17-07-2026,Mumbai,Equipment Repair,High,Industrial,T115,29.5,56.4,95.5,No Delay,0,0,42.9,224.3,240,Within SLA,4.4,Completed
SR10035,21-07-2026,Hyderabad,Installation,Critical,Industrial,T129,24.9,66.3,73,Approval,0,29.5,58.3,222.5,210,Breached,4.3,Completed
SR10036,01-09-2025,Bangalore,Preventive Maintenance,Low,Industrial,T114,5,90.6,83.7,Technician Availability,0,0,49.3,228.6,300,Within SLA,4.7,Completed
SR10037,20-05-2026,Pune,Installation,High,Business,T110,66.3,39.5,53.9,Technician Availability,0,0,22.3,182,240,Within SLA,4.1,Completed
SR10038,11-05-2025,Chennai,Electrical Service,Low,Residential,T117,67.9,77.3,43.4,No Delay,0,0,52.6,241.2,300,Within SLA,4.7,Completed
SR10039,30-04-2026,Pune,Network Support,Medium,Industrial,T101,44.4,45.6,130.1,Travel,0,0,22.5,242.6,270,Within SLA,5,Cancelled
SR10040,21-01-2025,Bangalore,Electrical Service,Medium,Industrial,T104,19.5,42,81.3,Spare Part,205.5,0,232.2,375,270,Breached,4.3,Completed
SR10041,16-06-2025,Chennai,Installation,High,Residential,T109,76,44.8,101.5,No Delay,0,0,30,252.3,240,Breached,4.7,Completed
SR10042,01-10-2025,Hyderabad,Network Support,Medium,Business,T104,13.9,71.7,98.2,Scheduling,0,0,68.3,252.1,270,Within SLA,4.4,Completed
SR10043,23-01-2026,Mumbai,Electrical Service,High,Residential,T119,40.9,38.6,56.4,Spare Part,78.3,0,105.7,241.6,240,Breached,4.5,Completed
SR10044,12-11-2025,Mumbai,Equipment Repair,Medium,Industrial,T126,9.3,52.1,45.8,No Delay,0,0,32.6,139.8,270,Within SLA,4.5,Completed
SR10045,14-01-2025,Pune,Equipment Repair,Medium,Residential,T124,5,39.7,66.5,Spare Part,97.4,0,151.7,262.9,270,Within SLA,4.4,Completed
SR10046,30-08-2025,Hyderabad,Preventive Maintenance,Medium,Industrial,T125,38.5,41.4,91.7,No Delay,0,0,51.5,223.1,270,Within SLA,4.3,Cancelled
SR10047,12-12-2025,Bangalore,Equipment Repair,High,Business,T105,40.4,77,60.2,Travel,0,0,52,229.6,240,Within SLA,4.5,Completed
SR10048,19-07-2026,Mumbai,Equipment Repair,Low,Business,T118,36.8,49.8,71,No Delay,0,0,15.8,173.4,300,Within SLA,5,Cancelled
SR10049,06-12-2025,Hyderabad,Installation,Medium,Business,T115,57.4,36.7,24.7,Travel,0,0,30,148.8,270,Within SLA,4.6,Completed
SR10050,02-04-2025,Pune,Equipment Repair,Medium,Industrial,T120,34.3,41.3,83.8,No Delay,0,0,47.4,206.8,270,Within SLA,4.8,Completed
SR10051,02-01-2026,Chennai,Equipment Repair,Medium,Business,T126,47.2,55.6,87.3,No Delay,0,0,46.3,236.4,270,Within SLA,4.9,Cancelled
SR10052,31-03-2026,Pune,Installation,Low,Residential,T108,23.3,49,84.9,Spare Part,115.7,0,157.9,315.1,300,Breached,5,Completed
SR10053,04-03-2026,Pune,Equipment Repair,Low,Business,T102,54.4,50,54.7,Customer Availability,0,0,17.5,176.6,300,Within SLA,4.2,Completed
SR10054,24-05-2026,Hyderabad,Equipment Repair,Medium,Industrial,T125,55.7,44,55.4,Scheduling,0,0,31.8,186.9,270,Within SLA,4.8,Completed
SR10055,04-02-2025,Mumbai,Preventive Maintenance,Medium,Residential,T113,31.2,70.9,52.2,No Delay,0,0,15.4,169.7,270,Within SLA,4.7,Completed
SR10056,25-07-2025,Hyderabad,Equipment Repair,Medium,Residential,T127,40.6,61.5,72.3,Spare Part,112.4,0,148.8,323.2,270,Breached,5,Completed
SR10057,22-03-2025,Chennai,Equipment Repair,High,Residential,T113,24.5,45.5,63.6,Spare Part,119.4,0,153.9,287.5,240,Breached,4.6,Completed
SR10058,16-07-2026,Hyderabad,Preventive Maintenance,Medium,Residential,T130,31.7,52.6,127.3,No Delay,0,0,31.6,243.2,270,Within SLA,4.9,Cancelled
SR10059,23-01-2026,Bangalore,Installation,Medium,Industrial,T128,46.1,33.7,139.2,Technician Availability,0,0,41.3,260.3,270,Within SLA,4.7,Completed
SR10060,02-01-2025,Pune,Equipment Repair,High,Business,T114,42.3,48.5,112.1,Travel,0,0,34.1,237,240,Within SLA,4.4,Completed
SR10061,25-01-2026,Mumbai,Electrical Service,Medium,Residential,T115,9.1,36.2,88,No Delay,0,0,30.8,164.1,270,Within SLA,4.5,Completed
SR10062,20-07-2026,Chennai,Installation,Critical,Business,T129,17.9,53.9,75.5,Approval,0,80.7,110.8,258.1,210,Breached,4.5,Completed
SR10063,16-04-2025,Pune,Installation,Medium,Business,T121,26.2,47.9,59.8,Spare Part,102.4,0,143.9,277.8,270,Breached,5,Completed
SR10064,22-04-2026,Hyderabad,Equipment Repair,High,Business,T112,38.3,45.2,87,Approval,0,138.5,179.8,350.3,240,Breached,3.9,Completed
SR10065,06-02-2026,Bangalore,Preventive Maintenance,High,Business,T123,21.2,52.9,80.1,Approval,0,109.4,135.3,289.5,240,Breached,3.9,Completed
SR10066,10-07-2026,Hyderabad,Installation,High,Industrial,T105,13.8,56,54,Travel,0,0,16.5,140.3,240,Within SLA,4.6,Completed
SR10067,11-06-2025,Pune,Preventive Maintenance,Critical,Residential,T103,5,71.8,61.3,Scheduling,0,0,38.6,176.7,210,Within SLA,4.8,Completed
SR10068,21-07-2025,Chennai,Electrical Service,Low,Residential,T118,66.3,65.6,26.6,Scheduling,0,0,45.7,204.2,300,Within SLA,4.6,Completed
SR10069,27-09-2025,Mumbai,Preventive Maintenance,Low,Business,T103,38,69,54.5,Travel,0,0,40.3,201.8,300,Within SLA,4.9,Cancelled
SR10070,28-09-2025,Pune,Network Support,High,Residential,T114,13.4,43,97,Technician Availability,0,0,40.7,194.1,240,Within SLA,5,Completed
SR10071,01-04-2026,Chennai,Preventive Maintenance,Medium,Business,T102,50.5,55.8,116,No Delay,0,0,23.9,246.2,270,Within SLA,4.5,Completed
SR10072,07-04-2026,Pune,Installation,High,Industrial,T118,57.4,84.7,100.8,Customer Availability,0,0,35.4,278.3,240,Breached,4.3,Completed
SR10073,09-09-2025,Bangalore,Preventive Maintenance,Low,Residential,T113,38.2,48.1,69.9,Technician Availability,0,0,28.1,184.3,300,Within SLA,4.9,Completed
SR10074,23-10-2025,Hyderabad,Preventive Maintenance,High,Business,T102,44.3,52.6,35.1,Technician Availability,0,0,35.6,167.6,240,Within SLA,4.4,Completed
SR10075,04-12-2025,Mumbai,Network Support,Low,Residential,T112,54.6,52.9,49.1,No Delay,0,0,22.9,179.5,300,Within SLA,5,Completed
SR10076,22-02-2025,Chennai,Network Support,Medium,Business,T127,44.1,47.9,98.2,Approval,0,135.8,165.2,355.4,270,Breached,4.5,Completed
SR10077,05-08-2025,Mumbai,Equipment Repair,Critical,Residential,T102,44.5,75.8,97.2,Customer Availability,0,0,22.3,239.8,210,Breached,4.5,Completed
SR10078,07-07-2025,Mumbai,Installation,Low,Industrial,T108,12,41.2,65.5,Spare Part,201.4,0,233.9,352.6,300,Breached,4.5,Cancelled
SR10079,15-01-2026,Mumbai,Equipment Repair,Medium,Residential,T129,5,71.6,72.8,Travel,0,0,28.6,178,270,Within SLA,4.9,Completed
SR10080,08-05-2026,Chennai,Network Support,Low,Industrial,T105,47.9,65.4,142.8,Spare Part,121.9,0,155.5,411.6,300,Breached,4.5,Completed
SR10081,10-02-2025,Chennai,Preventive Maintenance,High,Industrial,T129,31.6,48.8,32.1,Technician Availability,0,0,21.3,133.8,240,Within SLA,4.9,Completed
SR10082,06-06-2025,Mumbai,Network Support,High,Business,T125,28.2,41.8,85.3,No Delay,0,0,10.6,165.9,240,Within SLA,4.8,Completed
SR10083,15-01-2025,Hyderabad,Electrical Service,High,Business,T111,49.6,49.3,48.6,Technician Availability,0,0,47.1,194.6,240,Within SLA,4.7,Completed
SR10084,06-03-2025,Pune,Preventive Maintenance,Medium,Residential,T113,20.7,73.2,50.4,Technician Availability,0,0,12,156.3,270,Within SLA,4.3,Completed
SR10085,05-06-2026,Mumbai,Equipment Repair,Medium,Industrial,T128,34.5,71.5,97.5,No Delay,0,0,48.2,251.7,270,Within SLA,4.9,Completed
SR10086,10-12-2025,Bangalore,Preventive Maintenance,Low,Business,T121,35.9,66,135.9,Spare Part,93.6,0,118.7,356.5,300,Breached,4.5,Completed
SR10087,09-05-2025,Mumbai,Electrical Service,Medium,Industrial,T117,45.3,48.3,103.5,No Delay,0,0,50.6,247.7,270,Within SLA,4.7,Completed
SR10088,17-04-2026,Chennai,Network Support,Medium,Industrial,T124,40.1,50.9,131.9,Technician Availability,0,0,45,267.9,270,Within SLA,4.6,Completed
SR10089,04-03-2025,Pune,Installation,High,Industrial,T116,40.1,62.5,27,Customer Availability,0,0,28.3,157.9,240,Within SLA,5,Completed
SR10090,19-05-2025,Bangalore,Installation,Medium,Residential,T119,28.9,45.3,99.7,Spare Part,130.7,0,150.5,324.4,270,Breached,4.6,Completed
SR10091,14-05-2026,Pune,Installation,Low,Industrial,T126,29.3,66.8,112.2,Technician Availability,0,0,44.7,253,300,Within SLA,4.8,Completed
SR10092,27-01-2026,Pune,Network Support,Medium,Industrial,T127,40.1,53,77.7,No Delay,0,0,20.9,191.7,270,Within SLA,5,Completed
SR10093,23-02-2026,Bangalore,Installation,Medium,Residential,T126,27.5,70.3,109.9,No Delay,0,0,18.3,226,270,Within SLA,4.6,Completed
SR10094,16-10-2025,Mumbai,Electrical Service,Low,Residential,T115,22.6,21.7,162.4,Spare Part,133.3,0,172.1,378.8,300,Breached,4.5,Completed
SR10095,14-01-2026,Mumbai,Network Support,Low,Business,T118,54.3,37.9,89.5,Technician Availability,0,0,54.9,236.6,300,Within SLA,5,Completed
SR10096,05-05-2026,Mumbai,Installation,Low,Industrial,T129,24.9,43.3,73.2,Approval,0,135.5,138.2,279.6,300,Within SLA,4.4,Completed
SR10097,19-08-2025,Hyderabad,Equipment Repair,High,Industrial,T106,28.1,58.3,119.1,Technician Availability,0,0,31.2,236.7,240,Within SLA,4.5,Completed
SR10098,10-02-2025,Mumbai,Network Support,Medium,Residential,T104,53.4,42.5,118.3,No Delay,0,0,23.2,237.4,270,Within SLA,5,Completed
SR10099,28-01-2025,Bangalore,Network Support,High,Residential,T104,24.7,93.6,76.9,Spare Part,52.1,0,59.8,255,240,Breached,4.5,Completed
SR10100,15-05-2025,Hyderabad,Preventive Maintenance,Medium,Business,T130,39.8,25.6,68.4,No Delay,0,0,33.1,166.9,270,Within SLA,4,Cancelled
SR10101,20-07-2025,Mumbai,Installation,High,Residential,T113,41.1,70.4,118.2,Scheduling,0,0,42.8,272.5,240,Breached,4.2,Completed
SR10102,02-02-2025,Hyderabad,Equipment Repair,Low,Residential,T109,33.6,74.6,71.9,No Delay,0,0,41.1,221.2,300,Within SLA,4.3,Completed
SR10103,17-02-2025,Bangalore,Electrical Service,Medium,Residential,T110,29.2,60,83.4,No Delay,0,0,30.7,203.3,270,Within SLA,4.3,Completed
SR10104,18-05-2026,Mumbai,Network Support,Medium,Residential,T114,18.1,43.7,94.1,Spare Part,138.3,0,207.1,363,270,Breached,4.4,Cancelled
SR10105,11-02-2026,Chennai,Electrical Service,Low,Business,T128,44.4,49.6,79.4,Approval,0,130.6,170.3,343.7,300,Breached,4.6,Completed
SR10106,28-07-2026,Bangalore,Electrical Service,High,Industrial,T108,51.5,66.3,85.6,Spare Part,166,0,211.5,414.9,240,Breached,3.7,Completed
SR10107,09-04-2025,Pune,Electrical Service,High,Industrial,T103,49.9,18,60.2,No Delay,0,0,32.8,160.9,240,Within SLA,4.6,Completed
SR10108,01-07-2026,Pune,Preventive Maintenance,Medium,Industrial,T109,40.6,37.3,101.9,Scheduling,0,0,62.5,242.3,270,Within SLA,5,Completed
SR10109,07-04-2026,Bangalore,Electrical Service,Medium,Industrial,T129,5.4,39.2,72.8,Approval,0,137.8,176.5,293.9,270,Breached,4.8,Completed
SR10110,05-01-2025,Pune,Installation,Medium,Industrial,T101,46.5,60.9,131,Spare Part,20,0,49,287.4,270,Breached,4.4,Completed
SR10111,06-08-2025,Bangalore,Installation,High,Residential,T115,33.4,71.8,88.5,Approval,0,87.2,116.3,310,240,Breached,3.6,Completed
SR10112,18-05-2026,Chennai,Equipment Repair,High,Industrial,T115,26.1,89.6,115.9,Spare Part,99.2,0,117,348.6,240,Breached,3.5,Completed
SR10113,02-02-2026,Bangalore,Equipment Repair,Low,Residential,T128,44.9,12.7,103.9,Technician Availability,0,0,48.8,210.3,300,Within SLA,4.4,Completed
SR10114,28-01-2026,Mumbai,Electrical Service,Low,Industrial,T130,38.4,29.4,118.6,Scheduling,0,0,35.2,221.6,300,Within SLA,5,Completed
SR10115,26-07-2025,Mumbai,Electrical Service,Medium,Industrial,T107,50.1,43.2,71.6,No Delay,0,0,45.5,210.4,270,Within SLA,4.4,Completed
SR10116,15-01-2025,Hyderabad,Preventive Maintenance,Medium,Residential,T115,40.1,61.1,49.5,Scheduling,0,0,45.5,196.2,270,Within SLA,4.3,Completed
SR10117,08-07-2026,Pune,Electrical Service,Medium,Industrial,T107,31,65.3,58.1,Travel,0,0,5,159.4,270,Within SLA,4.7,Completed
SR10118,06-04-2026,Pune,Electrical Service,High,Residential,T113,29.8,26.4,55.8,Customer Availability,0,0,41.1,153.1,240,Within SLA,4.6,Completed
SR10119,29-07-2026,Bangalore,Electrical Service,High,Business,T112,44.2,57.5,60.5,Technician Availability,0,0,30.9,193.1,240,Within SLA,4.6,Completed
SR10120,29-08-2025,Pune,Network Support,Medium,Business,T118,14.9,10,49.8,Spare Part,244.5,0,274.9,349.6,270,Breached,3.8,Completed
SR10121,18-07-2026,Mumbai,Network Support,High,Business,T107,27.5,55.8,81.5,Spare Part,305.6,0,348.4,513.2,240,Breached,3.2,Completed
SR10122,06-04-2025,Chennai,Preventive Maintenance,Low,Industrial,T107,5,49.5,107.4,Approval,0,36.2,70.3,232.2,300,Within SLA,4.3,Completed
SR10123,30-04-2026,Bangalore,Preventive Maintenance,Medium,Industrial,T115,41.3,48,46.2,No Delay,0,0,50,185.5,270,Within SLA,4.2,Completed
SR10124,11-02-2026,Pune,Installation,Critical,Industrial,T109,44.7,42.2,64.8,Spare Part,74.7,0,114.1,265.8,210,Breached,4.9,Completed
SR10125,19-08-2025,Mumbai,Preventive Maintenance,Medium,Industrial,T106,23.5,48.2,115.7,Travel,0,0,26.1,213.5,270,Within SLA,4.6,Completed
SR10126,20-06-2025,Hyderabad,Installation,Medium,Residential,T126,18.6,56.4,38.6,Technician Availability,0,0,13.8,127.4,270,Within SLA,4.8,Completed
SR10127,25-06-2026,Pune,Electrical Service,Low,Business,T127,49.3,83.2,85,No Delay,0,0,31.2,248.7,300,Within SLA,4,Completed
SR10128,05-02-2025,Chennai,Preventive Maintenance,High,Residential,T126,24.3,24.3,102.7,Technician Availability,0,0,37,188.3,240,Within SLA,4.8,Completed
SR10129,09-06-2026,Chennai,Preventive Maintenance,Medium,Business,T109,44.6,44.5,147.6,Technician Availability,0,0,42.2,278.9,270,Breached,4.6,Completed
SR10130,09-06-2025,Pune,Preventive Maintenance,High,Business,T119,34.8,60.8,20,Approval,0,128.9,138.7,254.3,240,Breached,4.5,Completed
SR10131,31-08-2025,Pune,Installation,Low,Residential,T124,27.1,48.8,45.5,No Delay,0,0,26.4,147.8,300,Within SLA,4.3,Completed
SR10132,27-03-2025,Mumbai,Installation,Low,Residential,T120,43.7,52.5,93.8,Spare Part,196.2,0,257.8,447.8,300,Breached,3.7,Completed
SR10133,01-08-2026,Pune,Equipment Repair,Medium,Residential,T130,35.5,38.3,73.8,Scheduling,0,0,38.6,186.2,270,Within SLA,4.3,Completed
SR10134,11-07-2026,Hyderabad,Installation,Medium,Business,T116,57.4,66.5,20,No Delay,0,0,50.6,194.5,270,Within SLA,4.6,Cancelled
SR10135,28-07-2026,Mumbai,Installation,High,Residential,T116,24,10,71.6,Approval,0,118.5,134.1,239.7,240,Within SLA,4,Completed
SR10136,28-01-2025,Bangalore,Network Support,High,Industrial,T127,15.1,30.1,57.8,No Delay,0,0,47.8,150.8,240,Within SLA,4.2,Completed
SR10137,10-07-2026,Hyderabad,Preventive Maintenance,Medium,Residential,T101,34.8,89.1,35.5,Spare Part,167.7,0,198.9,358.3,270,Breached,3.7,Completed
SR10138,06-12-2025,Mumbai,Installation,Low,Business,T123,42.1,25.4,73.6,Scheduling,0,0,33.6,174.7,300,Within SLA,5,Completed
SR10139,27-11-2025,Mumbai,Preventive Maintenance,Medium,Business,T113,32.2,32.6,45.2,Spare Part,152,0,171.5,281.5,270,Breached,4.9,Completed
SR10140,21-05-2026,Chennai,Preventive Maintenance,High,Residential,T119,62,34.2,59,Technician Availability,0,0,37.1,192.3,240,Within SLA,4.4,Completed
SR10141,14-12-2025,Mumbai,Network Support,Low,Residential,T104,53.2,39.2,124,No Delay,0,0,50.3,266.7,300,Within SLA,3.9,Completed
SR10142,18-04-2026,Hyderabad,Preventive Maintenance,High,Business,T119,27.1,49.6,140.9,Spare Part,131,0,144.6,362.2,240,Breached,4.9,Completed
SR10143,19-08-2025,Pune,Installation,Low,Business,T122,36,71.6,57.9,No Delay,0,0,23.8,189.3,300,Within SLA,4.6,Completed
SR10144,09-07-2025,Hyderabad,Preventive Maintenance,High,Residential,T110,7.9,59.5,88.5,Technician Availability,0,0,33.8,189.7,240,Within SLA,4.7,Completed
SR10145,13-08-2025,Bangalore,Equipment Repair,High,Industrial,T113,50.8,45.3,103.7,Technician Availability,0,0,61.4,261.2,240,Breached,5,Completed
SR10146,20-01-2026,Mumbai,Equipment Repair,Medium,Industrial,T101,24.8,85,59.6,Spare Part,134.8,0,165.3,334.7,270,Breached,4.6,Completed
SR10147,12-01-2026,Mumbai,Network Support,High,Industrial,T113,38,41.7,55.9,Customer Availability,0,0,23.8,159.4,240,Within SLA,4.9,Cancelled
SR10148,10-10-2025,Mumbai,Installation,High,Business,T110,31.1,51.2,104.1,No Delay,0,0,48.6,235,240,Within SLA,4.9,Completed
SR10149,16-09-2025,Mumbai,Network Support,High,Industrial,T115,12.7,52.4,78.1,Travel,0,0,39.7,182.9,240,Within SLA,4.7,Cancelled
SR10150,25-12-2025,Chennai,Equipment Repair,Medium,Industrial,T129,47.5,66.9,78.5,No Delay,0,0,22.5,215.4,270,Within SLA,4.4,Completed
SR10151,01-04-2026,Chennai,Installation,Medium,Residential,T115,19.1,27,49.9,Scheduling,0,0,47.9,143.9,270,Within SLA,4.9,Completed
SR10152,15-02-2026,Pune,Preventive Maintenance,High,Residential,T107,27.2,29.5,54.3,Technician Availability,0,0,46.2,157.2,240,Within SLA,4.3,Completed
SR10153,14-11-2025,Mumbai,Installation,High,Industrial,T126,47.8,68.9,86.9,Travel,0,0,21.5,225.1,240,Within SLA,4.9,Completed
SR10154,13-08-2025,Bangalore,Electrical Service,High,Business,T114,20.4,85.7,71.9,Travel,0,0,61.5,239.5,240,Within SLA,4.9,Completed
SR10155,22-08-2025,Pune,Installation,Medium,Industrial,T108,57.4,42.7,87.8,Technician Availability,0,0,37.8,225.7,270,Within SLA,4.5,Completed
SR10156,09-01-2026,Mumbai,Preventive Maintenance,Low,Residential,T119,20.2,24.8,113.2,Spare Part,172.5,0,192.7,350.9,300,Breached,3.9,Completed
SR10157,17-04-2026,Chennai,Electrical Service,Critical,Residential,T125,17.5,26.2,89.5,Approval,0,110.1,171.5,304.7,210,Breached,3.9,Completed
SR10158,21-08-2025,Bangalore,Network Support,Low,Residential,T118,35.7,70.7,65.5,Scheduling,0,0,50.5,222.4,300,Within SLA,4.6,Completed
SR10159,23-04-2025,Pune,Installation,High,Industrial,T115,59.5,16.3,112.2,Technician Availability,0,0,33.4,221.4,240,Within SLA,4.5,Completed
SR10160,12-05-2026,Bangalore,Network Support,Medium,Business,T126,34.9,51.3,84,Spare Part,160.4,0,206.8,377,270,Breached,4.5,Completed
SR10161,18-03-2026,Mumbai,Installation,Medium,Industrial,T127,49.7,46.5,124.3,No Delay,0,0,26.6,247.1,270,Within SLA,5,Completed
SR10162,18-07-2026,Hyderabad,Equipment Repair,Medium,Residential,T126,14.9,36.5,63.7,Scheduling,0,0,29.5,144.6,270,Within SLA,4.4,Completed
SR10163,25-09-2025,Bangalore,Equipment Repair,Critical,Residential,T109,29.5,32.8,81.5,Spare Part,125.4,0,159.4,303.2,210,Breached,4.6,Completed
SR10164,25-05-2026,Bangalore,Preventive Maintenance,High,Residential,T112,30.5,63.9,74.8,No Delay,0,0,23.1,192.3,240,Within SLA,4.8,Completed
SR10165,21-01-2026,Chennai,Equipment Repair,High,Residential,T121,16.1,65.5,88.1,No Delay,0,0,15.7,185.4,240,Within SLA,5,Completed
SR10166,22-01-2026,Mumbai,Electrical Service,Medium,Industrial,T122,11.1,73.3,91.9,Travel,0,0,59.2,235.5,270,Within SLA,4.6,Completed
SR10167,23-04-2025,Bangalore,Electrical Service,Low,Industrial,T114,31.4,59.7,84.8,Approval,0,89.2,91.7,267.6,300,Within SLA,4.6,Completed
SR10168,22-03-2025,Mumbai,Installation,High,Business,T102,58.7,50.2,109.2,No Delay,0,0,52.1,270.2,240,Breached,4.4,Completed
SR10169,23-04-2025,Chennai,Network Support,Medium,Residential,T105,38.3,53.3,97.3,Technician Availability,0,0,46.9,235.8,270,Within SLA,4.2,Completed
SR10170,02-01-2025,Mumbai,Electrical Service,High,Industrial,T122,24.8,69.8,158.3,No Delay,0,0,14.5,267.4,240,Breached,3.9,Completed
SR10171,08-08-2025,Chennai,Installation,High,Industrial,T105,5,15.8,163.1,Spare Part,149.8,0,181.3,365.2,240,Breached,4,Completed
SR10172,20-07-2026,Chennai,Network Support,Medium,Residential,T114,29.4,58.9,63.9,Travel,0,0,39.1,191.3,270,Within SLA,4.8,Completed
SR10173,13-08-2025,Pune,Equipment Repair,High,Industrial,T104,28.4,38.4,69.2,No Delay,0,0,46.1,182.1,240,Within SLA,4.7,Completed
